date,revenue
2023-03-14,278018.56
2023-03-15,117405.91
2023-03-16,101523.92
2023-03-17,71347.36
2023-03-18,91195.15
2023-03-19,65409.72
2023-03-20,56326.42
2023-03-21,72227.18
2023-03-22,45344.05
2023-03-23,60518.67
2023-03-24,48920.78
2023-03-25,39613.99
2023-03-26,29533.16
2023-03-27,26099.66
2023-03-28,38581.60
2023-03-29,36710.70
2023-03-30,31946.41
2023-03-31,31051.16
2023-04-01,39365.71
2023-04-02,20457.88
2023-04-03,21958.63
2023-04-04,35210.13
2023-04-05,38953.38
2023-04-06,36755.12
2023-04-07,30412.59
2023-04-08,20240.71
2023-04-09,25856.23
2023-04-10,37745.53
2023-04-11,28394.37
2023-04-12,36664.06
2023-04-13,42324.24
2023-04-14,62268.46
2023-04-15,56109.28
2023-04-16,28802.56
2023-04-17,27796.37
2023-04-18,39007.11
2023-04-19,33509.77
2023-04-20,42376.51
2023-04-21,37273.24
2023-04-22,51200.01
2023-04-23,24640.34
2023-04-24,23304.97
2023-04-25,28938.01
2023-04-26,36635.02
2023-04-27,39196.68
2023-04-28,43507.70
2023-04-29,27568.65
2023-04-30,24365.33
2023-05-01,114336.20
2023-05-02,140273.89
2023-05-03,142333.99
2023-05-04,145388.11
2023-05-05,138302.67
2023-05-06,140362.91
2023-05-07,191358.36
2023-05-08,153250.41
2023-05-09,179275.01
2023-05-10,150530.88
2023-05-11,157072.61
2023-05-12,172349.66
2023-05-13,168572.87
2023-05-14,119417.14
2023-05-15,102355.57
2023-05-16,108722.59
2023-05-17,26790.85
2023-05-18,30835.48
2023-05-19,28964.82
2023-05-20,25029.73
2023-05-21,16265.97
2023-05-22,19102.16
2023-05-23,22590.22
2023-05-24,32745.82
2023-05-25,30697.67
2023-05-26,28355.21
2023-05-27,23026.91
2023-05-28,20598.35
2023-05-29,24708.19
2023-05-30,22922.16
2023-05-31,28988.47
2023-06-01,29701.94
2023-06-02,28077.21
2023-06-03,32833.64
2023-06-04,20185.54
2023-06-05,20592.91
2023-06-06,36180.40
2023-06-07,39719.23
2023-06-08,31782.66
2023-06-09,35139.89
2023-06-10,30440.34
2023-06-11,74941.29
2023-06-12,31376.30
2023-06-13,42766.55
2023-06-14,42695.94
2023-06-15,51365.79
2023-06-16,157152.53
2023-06-17,52805.39
2023-06-18,30265.92
2023-06-19,19790.13
2023-06-20,34452.00
2023-06-21,48634.39
2023-06-22,55833.80
2023-06-23,46364.12
2023-06-24,39187.99
2023-06-25,30176.26
2023-06-26,28449.24
2023-06-27,39672.35
2023-06-28,33507.61
2023-06-29,30558.94
2023-06-30,38055.20
2023-07-01,52057.44
2023-07-02,26636.92
2023-07-03,25057.74
2023-07-04,32372.59
2023-07-05,41761.99
2023-07-06,28434.99
2023-07-07,41551.44
2023-07-08,32565.31
2023-07-09,21703.02
2023-07-10,21137.48
2023-07-11,32750.32
2023-07-12,32165.34
