date,treasury
2022-08-05,179597035.98
2022-08-06,170901843.52
2022-08-07,173926605.39
2022-08-08,176895254.82
2022-08-09,160565630.02
2022-08-10,170824259.87
2022-08-11,169805056.64
2022-08-12,175205536.52
2022-08-13,177282809.70
2022-08-14,171547438.87
2022-08-15,164211542.71
2022-08-16,159604699.10
2022-08-17,146280095.54
2022-08-18,138803506.35
2022-08-19,129460557.30
2022-08-20,123958301.08
2022-08-21,128093103.89
2022-08-22,136654023.80
2022-08-23,147137094.10
2022-08-24,146594397.20
2022-08-25,146215065.07
2022-08-26,129433916.05
2022-08-27,129806969.87
2022-08-28,122907856.86
2022-08-29,133735663.85
2022-08-30,130614420.11
2022-08-31,141875008.46
2022-09-01,142698592.52
2022-09-02,135218572.59
2022-09-03,132706183.65
2022-09-04,134595147.03
2022-09-05,142067602.64
2022-09-06,128020629.31
2022-09-07,144689482.68
2022-09-08,139944030.62
2022-09-09,148638247.29
2022-09-10,154417767.44
2022-09-11,147142858.09
2022-09-12,140865476.35
2022-09-13,130725696.57
2022-09-14,132784559.44
2022-09-15,129859104.78
2022-09-16,129993555.98
2022-09-17,135472531.05
2022-09-18,116035682.93
2022-09-19,122061171.41
2022-09-20,116923973.38
2022-09-21,106838993.22
2022-09-22,114148121.05
2022-09-23,117488155.14
2022-09-24,114096910.90
2022-09-25,110482318.25
2022-09-26,115225728.79
2022-09-27,113694429.87
2022-09-28,115997953.58
2022-09-29,114622046.02
2022-09-30,113241441.51
2022-10-01,110701885.92
2022-10-02,106899487.98
2022-10-03,110860676.47
2022-10-04,113074401.06
2022-10-05,111596307.31
2022-10-06,111264995.77
2022-10-07,110403095.34
2022-10-08,109231898.89
2022-10-09,109486134.17
2022-10-10,106127579.79
2022-10-11,101742123.61
2022-10-12,102305188.96
2022-10-13,99407105.56
2022-10-14,100088778.09
2022-10-15,100384304.37
2022-10-16,101476438.01
2022-10-17,110791429.52
2022-10-18,113007011.78
2022-10-19,106515717.21
2022-10-20,105495021.99
2022-10-21,111133086.31
2022-10-22,108708928.65
2022-10-23,113665898.92
2022-10-24,109011049.11
2022-10-25,113146583.69
2022-10-26,116023562.33
2022-10-27,112865599.55
2022-10-28,117201237.73
2022-10-29,115469029.05
2022-10-30,112041121.36
2022-10-31,109559862.03
2022-11-01,110176270.98
2022-11-02,106979198.45
2022-11-03,112168765.10
2022-11-04,126888589.90
2022-11-05,123442566.87
2022-11-06,117962545.05
2022-11-07,123766081.05
2022-11-08,95709130.16
2022-11-09,68146808.52
2022-11-10,84783712.70
2022-11-11,82207745.87
2022-11-12,74653125.58
2022-11-13,77920730.69
2022-11-14,75202475.04
2022-11-15,74677444.95
2022-11-16,72682855.70
2022-11-17,68453843.26
2022-11-18,68339905.88
2022-11-19,67097159.53
2022-11-20,63131236.34
2022-11-21,62187439.68
2022-11-22,78517502.75
2022-11-23,85584122.30
2022-11-24,85039345.01
2022-11-25,84017750.22
2022-11-26,87094551.71
2022-11-27,85057257.04
2022-11-28,79893257.67
2022-11-29,82195092.61
2022-11-30,82904915.10
2022-12-01,79989664.61
2022-12-02,81000917.16
2022-12-03,78650967.08
2022-12-04,83259988.66
2022-12-05,83265021.72
2022-12-06,84299478.84
2022-12-07,81482484.32
2022-12-08,82545961.69
2022-12-09,79393470.00
2022-12-10,79358697.95
2022-12-11,78428223.13
2022-12-12,76673081.46
2022-12-13,80592806.82
2022-12-14,79766309.86
2022-12-15,76569854.28
2022-12-16,67420399.82
2022-12-17,68909097.77
2022-12-18,68377138.00
2022-12-19,64571217.37
2022-12-20,65463232.37
2022-12-21,63835004.47
2022-12-22,64909505.92
2022-12-23,64898479.78
2022-12-24,64721263.18
2022-12-25,64539803.58
2022-12-26,66470315.00
2022-12-27,65165162.69
2022-12-28,63285386.85
2022-12-29,63593928.08
2022-12-30,65098911.53
2022-12-31,64749659.77
2023-01-01,65234189.11
2023-01-02,66532307.01
2023-01-03,65442930.91
2023-01-04,68615721.33
2023-01-05,67257622.91
2023-01-06,67102795.45
2023-01-07,67940687.34
2023-01-08,70911552.03
2023-01-09,80205915.85
2023-01-10,80619956.80
2023-01-11,83230772.96
2023-01-12,85380391.32
2023-01-13,99472858.35
2023-01-14,101346835.18
2023-01-15,103425507.86
2023-01-16,108266556.46
2023-01-17,113675154.68
2023-01-18,111487678.42
2023-01-19,111036187.14
2023-01-20,127504865.82
2023-01-21,123162480.81
2023-01-22,132873934.24
2023-01-23,133066277.72
2023-01-24,122524712.92
2023-01-25,128233143.30
2023-01-26,129810234.17
2023-01-27,140176417.71
2023-01-28,132777658.39
2023-01-29,134671399.79
2023-01-30,122735997.81
2023-01-31,126221901.60
2023-02-01,137954711.86
2023-02-02,131476990.67
2023-02-03,137806728.24
2023-02-04,137759322.29
2023-02-05,130042246.67
2023-02-06,129372982.53
2023-02-07,135327166.92
2023-02-08,140813662.50
2023-02-09,120284485.63
2023-02-10,118573022.83
2023-02-11,118229541.40
2023-02-12,115445734.74
2023-02-13,131022740.18
2023-02-14,133996765.01
2023-02-15,142357144.78
2023-02-16,135859078.20
2023-02-17,150485956.70
2023-02-18,155534700.21
2023-02-19,149675554.78
2023-02-20,157282707.91
2023-02-21,144454268.81
2023-02-22,136694433.62
2023-02-23,133588804.39
2023-02-24,122569705.20
2023-02-25,121369196.08
2023-02-26,126271602.86
2023-02-27,124929549.70
2023-02-28,123223954.25
2023-03-01,127776098.02
2023-03-02,122620033.59
2023-03-03,114816074.31
2023-03-04,112089056.92
2023-03-05,114824825.46
2023-03-06,118001842.31
2023-03-07,120779116.85
2023-03-08,110300920.38
2023-03-09,103669841.91
2023-03-10,110100787.81
2023-03-11,106921640.15
2023-03-12,118640257.87
2023-03-13,121659492.43
2023-03-14,122807173.62
2023-03-15,110810033.50
2023-03-16,113037630.86
2023-03-17,124864411.47
2023-03-18,123305485.97
2023-03-19,127171213.04
2023-03-20,119465581.40
2023-03-21,122914751.25
2023-03-22,116614221.48
2023-03-23,120030307.18
2023-03-24,112541763.79
2023-03-25,113464133.03
2023-03-26,115849153.75
2023-03-27,110248061.24
2023-03-28,113883609.52
2023-03-29,116980954.53
2023-03-30,114544784.47
2023-03-31,116286466.67
2023-04-01,114654094.59
2023-04-02,112044525.05
2023-04-03,113893563.60
2023-04-04,123388274.16
2023-04-05,124396923.88
2023-04-06,124396382.99
2023-04-07,125852428.75
2023-04-08,127194322.29
2023-04-09,125772109.73
2023-04-10,127010904.74
2023-04-11,126290726.89
2023-04-12,127477313.28
2023-04-13,132272518.97
2023-04-14,135562886.74
2023-04-15,135033438.16
