date,trading_volume
2023-01-11,334724719.41
2023-01-12,377021325.13
2023-01-13,385043025.99
2023-01-14,443344999.25
2023-01-15,333456237.45
2023-01-16,237825508.18
2023-01-17,299800908.34
2023-01-18,468129021.01
2023-01-19,382015348.58
2023-01-20,307360926.86
2023-01-21,383214833.50
2023-01-22,228570668.42
2023-01-23,422080220.51
2023-01-24,431580688.97
2023-01-25,422563827.05
2023-01-26,296295742.54
2023-01-27,345697491.36
2023-01-28,224053938.43
2023-01-29,91057327.53
2023-01-30,173253824.92
2023-01-31,255054583.49
2023-02-01,214467130.97
2023-02-02,204530997.18
2023-02-03,227941585.18
2023-02-04,142658157.75
2023-02-05,211713544.81
2023-02-06,193914810.26
2023-02-07,327071673.52
2023-02-08,247481120.97
2023-02-09,332191944.96
2023-02-10,264438923.49
2023-02-11,155799014.91
2023-02-12,107563676.12
2023-02-13,1062897135.43
2023-02-14,299525602.37
2023-02-15,186120968.73
2023-02-16,221435514.87
2023-02-17,171582271.31
2023-02-18,118682068.37
2023-02-19,111183286.17
2023-02-20,146057396.63
2023-02-21,148596563.87
2023-02-22,128016882.21
2023-02-23,198147235.35
2023-02-24,177888883.82
2023-02-25,103603960.94
2023-02-26,90413959.08
2023-02-27,130218412.53
2023-02-28,117677752.70
2023-03-01,129316442.45
2023-03-02,237651288.45
2023-03-03,191751006.43
2023-03-04,43902185.46
2023-03-05,96456845.92
2023-03-06,203262600.40
2023-03-07,369252720.15
2023-03-08,135662618.30
2023-03-09,175268049.62
2023-03-10,1406078194.10
2023-03-11,7958909322.82
2023-03-12,2396330834.53
2023-03-13,2108977818.07
2023-03-14,766644997.54
2023-03-15,645746717.68
2023-03-16,525824793.87
2023-03-17,611416558.88
2023-03-18,348149917.70
2023-03-19,293223080.40
2023-03-20,379962973.35
2023-03-21,229821592.84
2023-03-22,364749611.62
2023-03-23,249588728.32
2023-03-24,226522718.35
2023-03-25,154406815.97
2023-03-26,154566702.70
2023-03-27,230905195.21
2023-03-28,162039782.19
2023-03-29,169557701.13
2023-03-30,168748213.13
2023-03-31,188967340.86
2023-04-01,94213978.20
2023-04-02,86143516.99
2023-04-03,176351847.61
2023-04-04,145507918.49
2023-04-05,127400447.19
2023-04-06,131988693.76
2023-04-07,80414401.31
2023-04-08,136909309.25
2023-04-09,112500299.73
2023-04-10,103817089.23
2023-04-11,145301261.98
2023-04-12,185876714.43
2023-04-13,264249255.03
2023-04-14,248104761.82
2023-04-15,108646412.20
