date,token_incentives
2022-09-17,541555.56
2022-09-18,482461.33
2022-09-19,484937.51
2022-09-20,484087.61
2022-09-21,426262.17
2022-09-22,653301.22
2022-09-23,467663.22
2022-09-24,456201.84
2022-09-25,497794.08
2022-09-26,454885.27
2022-09-27,449725.96
2022-09-28,465203.88
2022-09-29,640640.86
2022-09-30,461599.69
2022-10-01,448500.27
2022-10-02,427702.08
2022-10-03,428907.92
2022-10-04,468115.35
2022-10-05,476861.99
2022-10-06,637868.90
2022-10-07,447330.95
2022-10-08,416486.20
2022-10-09,423093.90
2022-10-10,411995.76
2022-10-11,437527.91
2022-10-12,405651.10
2022-10-13,555135.35
2022-10-14,411299.67
2022-10-15,397435.62
2022-10-16,411748.27
2022-10-17,447355.79
2022-10-18,452187.34
2022-10-19,423595.27
2022-10-20,587963.66
2022-10-21,445478.92
2022-10-22,454771.74
2022-10-23,464766.58
2022-10-24,444152.55
2022-10-25,446800.47
2022-10-26,479064.15
2022-10-27,602419.88
2022-10-28,479992.20
2022-10-29,476102.89
2022-10-30,461080.78
2022-10-31,424959.87
2022-11-01,461636.97
2022-11-02,415522.13
2022-11-03,574719.09
2022-11-04,526129.50
2022-11-05,535388.67
2022-11-06,468050.62
2022-11-07,512245.34
2022-11-08,375849.67
2022-11-09,244037.06
2022-11-10,500812.78
2022-11-11,329368.21
2022-11-12,315081.28
2022-11-13,317808.60
2022-11-14,290634.40
2022-11-15,319992.79
2022-11-16,296566.76
2022-11-17,358935.10
2022-11-18,274950.62
2022-11-19,271301.69
2022-11-20,254952.47
2022-11-21,252247.64
2022-11-22,333360.04
2022-11-23,347171.76
2022-11-24,464542.66
2022-11-25,337377.71
2022-11-26,351940.65
2022-11-27,342722.58
2022-11-28,321666.31
2022-11-29,333966.20
2022-11-30,331897.15
2022-12-01,440205.78
2022-12-02,325329.43
2022-12-03,316476.28
2022-12-04,334344.95
2022-12-05,333074.89
2022-12-06,341714.46
2022-12-07,342794.69
2022-12-08,448883.85
2022-12-09,337128.56
2022-12-10,318853.98
2022-12-11,318437.73
2022-12-12,305660.97
2022-12-13,362205.87
