date,market_cap_fully_diluted
2022-11-06,3290408793.87
2022-11-07,3146965658.86
2022-11-08,3318304842.22
2022-11-09,2546326424.96
2022-11-10,1813442618.86
2022-11-11,2276482665.90
2022-11-12,2196474535.09
2022-11-13,1989561804.26
2022-11-14,2087839473.87
2022-11-15,2010843221.33
2022-11-16,2002067440.27
2022-11-17,1942022201.20
2022-11-18,1826417950.27
2022-11-19,1840335937.45
2022-11-20,1793321895.59
2022-11-21,1691295594.77
2022-11-22,1656521188.59
2022-11-23,2093882264.21
2022-11-24,2272701216.92
2022-11-25,2278088006.32
2022-11-26,2246427314.27
2022-11-27,2319713099.21
2022-11-28,2261054428.57
2022-11-29,2132451091.84
2022-11-30,2187352031.14
2022-12-01,2222858123.16
2022-12-02,2113136811.92
2022-12-03,2172648523.50
2022-12-04,2101811797.33
2022-12-05,2217434959.62
2022-12-06,2229549939.73
2022-12-07,2246349777.59
2022-12-08,2157611274.50
2022-12-09,2210465060.30
2022-12-10,2131950784.75
2022-12-11,2112519218.55
2022-12-12,2085243047.15
2022-12-13,2043626032.39
2022-12-14,2159183225.74
2022-12-15,2142022809.81
2022-12-16,2034788810.93
2022-12-17,1796230527.06
2022-12-18,1854284029.84
2022-12-19,1815688711.67
2022-12-20,1706608303.38
2022-12-21,1751380556.65
2022-12-22,1706377227.45
2022-12-23,1738185971.16
2022-12-24,1741438177.11
2022-12-25,1738630189.06
2022-12-26,1727541539.96
2022-12-27,1775760883.73
2022-12-28,1748554277.60
2022-12-29,1687051119.88
2022-12-30,1693263987.27
2022-12-31,1749387004.29
2023-01-01,1733672693.99
2023-01-02,1747496939.83
2023-01-03,1766740686.00
2023-01-04,1757436983.53
2023-01-05,1835277120.33
2023-01-06,1801210870.33
2023-01-07,1802587629.05
2023-01-08,1827890983.37
2023-01-09,1890738656.21
2023-01-10,2126288016.93
2023-01-11,2155343545.38
2023-01-12,2213407336.81
2023-01-13,2275155935.28
2023-01-14,2650245175.14
2023-01-15,2700215186.72
2023-01-16,2748932851.77
2023-01-17,2857180146.24
2023-01-18,3025395853.47
2023-01-19,2975283670.31
2023-01-20,2972385682.20
2023-01-21,3417416479.58
2023-01-22,3291089601.57
2023-01-23,3553267900.61
2023-01-24,3528899591.22
2023-01-25,3277541512.33
2023-01-26,3415238639.54
2023-01-27,3461291044.16
2023-01-28,3744909270.59
2023-01-29,3536975227.83
2023-01-30,3610423925.22
2023-01-31,3279189907.40
2023-02-01,3366363375.75
2023-02-02,3674849153.23
2023-02-03,3510854646.16
2023-02-04,3681907321.83
2023-02-05,3669504703.41
2023-02-06,3470418174.88
2023-02-07,3455849555.92
2023-02-08,3610810513.48
2023-02-09,3765023975.76
2023-02-10,3205020724.25
2023-02-11,3170793763.03
2023-02-12,3168032676.37
2023-02-13,3057856166.10
2023-02-14,3491816530.67
2023-02-15,3570243728.20
2023-02-16,3790350263.93
2023-02-17,3637194812.66
2023-02-18,4023754946.61
2023-02-19,4147525452.81
2023-02-20,3967327623.44
2023-02-21,4172891229.12
2023-02-22,3832354435.82
2023-02-23,3653517314.54
2023-02-24,3573424847.67
2023-02-25,3300349121.94
2023-02-26,3260474182.32
2023-02-27,3365147341.39
2023-02-28,3354389643.17
2023-03-01,3281734489.50
2023-03-02,3418048244.00
2023-03-03,3275960891.12
2023-03-04,3085381916.93
2023-03-05,3003426803.52
2023-03-06,3070725670.00
2023-03-07,3137860819.34
2023-03-08,3217837664.50
2023-03-09,2931354309.90
2023-03-10,2774437891.98
2023-03-11,2923775897.17
2023-03-12,2836780972.26
2023-03-13,3091795741.77
2023-03-14,3231657348.57
2023-03-15,3275194264.42
2023-03-16,2950570208.39
2023-03-17,3028873104.98
2023-03-18,3323040054.32
2023-03-19,3275653422.80
2023-03-20,3401481729.21
2023-03-21,3203645354.59
2023-03-22,3311760556.25
2023-03-23,3129630412.96
2023-03-24,3213607287.16
2023-03-25,2999778443.04
2023-03-26,3047706483.30
2023-03-27,3086872460.86
2023-03-28,2943029134.21
2023-03-29,3043397360.73
2023-03-30,3110718486.60
2023-03-31,3042013929.07
2023-04-01,3091289802.58
2023-04-02,3061255351.27
2023-04-03,2998964447.95
2023-04-04,3043682466.82
2023-04-05,3292018722.27
2023-04-06,3313581242.55
2023-04-07,3337755147.62
2023-04-08,3370586634.52
2023-04-09,3385912222.02
2023-04-10,3345215775.16
2023-04-11,3394673889.14
2023-04-12,3369943377.83
2023-04-13,3403945045.07
2023-04-14,3523688516.80
2023-04-15,3606128112.42
2023-04-16,3603513371.71
2023-04-17,3647463139.20
2023-04-18,3470090082.28
2023-04-19,3549760895.92
2023-04-20,3155708590.46
2023-04-21,3124130319.65
2023-04-22,3042986416.20
2023-04-23,3097788119.97
2023-04-24,3125292828.40
2023-04-25,3060061211.51
2023-04-26,3107605587.22
2023-04-27,3033780298.61
2023-04-28,3122451984.23
2023-04-29,3056289149.44
2023-04-30,3087003506.85
2023-05-01,3011007070.82
2023-05-02,2921305380.01
2023-05-03,2988533429.08
2023-05-04,3211305749.16
